,title,keywords
0,百度“AI to B”志在长远，智能云“产业智能化”行在当下,"['志在', '行在', '产业', '百度', '智能', 'ai', 'ldquo', 'rdquo']"
1,8K时代来了，三星如何拿下技术王牌标签？,"['8k', '三星', '技术', '电视', '4k', 'ldquo', 'rdquo', '产品']"
2,区块链在银行金融业的探索——现状研究,"['区块', '银行', '金融业', 'blockcha', 'no', 'bank', 'op', 'ancial']"
3,title-1560825710,['title']
4,“一般数据保护条例”对数据分析及挖掘的影响,"['数据保护', '数据分析', 'gd', '数据', '欧盟', 'pr', '隐私', 'nbsp']"
5,硅谷AI商业化大会专题讨论：自动驾驶与智能交通的未来,"['交通', '硅谷', '专题讨论', '商业化', '智能', 'ai', '汽车', 'louay']"
6,奇点云行业观察 | 购物中心如何实现高质量数据采集？,"['高质量数据', '奇点', '实现', '数据', '消费者', '入会', '业态', '线下']"
7,达观数据：Angular 6+依赖注入使用指南：providedIn与providers对比,"['providers', 'provided', 'angular', '使用指南', 'in', '数据', '加载', 'root']"
8,title-1558413361,"['title', '苏宁', '易购', '消费者', '智慧零售', '小店']"
9,title-1560592865,['title']
10,智能对话爆发，但要做引擎的百度大脑已经提前赢下这场AI竞赛,"['这场', '竞赛', '百度', '智能', 'ai', 'ldquo', 'rdquo', '平台']"
11,拿下消金牌照，结盟光大银行，度小满跨越“J型曲线”拐点,"['度小满', '光大银行', '拐点', 'ldquo', 'rdquo', '金融', '金融科技', '风控']"
12,达观数据：数据不够？GAN来凑！,"['数据', 'gan', '生成器', '卷积', '向量', 'dc', '法使', '梯度']"
13,车载OS“福特事件”：百度阿里的暗战,"['os', '车载', '福特', '暗战', '阿里', '百度', 'alios', '小度']"
14,百度“小灵”：矗立在AI百年历史关口的AI虚拟主持人,"['小灵', 'ai', '百度', 'ldquo', 'rdquo', '五四', '技术', '工业革命']"
15,title-1560390852,['title']
16,title-1560390869,['title']
17,深度分析拼多多的首场618战事：“猫拼狗“的快打旋风,"['拼狗', '快打旋风', '深度', 'ldquo', 'rdquo', '消费者', '电商']"
18,两大业务“一降一升”让苹果有望重归万亿市值,"['苹果', '万亿', '市值', '一降', '重归', '一升', 'ldquo', 'rdquo']"
19,2018WAIC“高光”时刻系列回顾: 人工智能需要“全世界联合起来”,"['全世界联合起来', 'waic', '人工智能', 'ai', '腾讯', 'ldquo', 'rdquo']"
20,2018WAIC“高光”时刻系列回顾: 人工智能需要“全世界联合起来”,"['全世界联合起来', 'waic', '人工智能', 'ai', '腾讯', 'ldquo', 'rdquo']"
21,使用Python+opencv进行图像处理（一） | 视觉入门,"['图像处理', 'encv', '入门', 'op', '视觉', 'python', 'draw', 'img']"
22,数据中台元年，企业数字化转型面临的三大挑战,"['数字化转型', '数据中台', '三大', '企业', '数据', '门店', '数据模型', '业务部门']"
23,全球「最快」网络芯片将被英特尔收购，曾获阿里腾讯投资,"['收购', '英特尔', '投资', '阿里', '芯片', '腾讯', 'barefoot', '博通']"
24,旷视完成7.5亿美元D轮融资，估值40亿美元,"['旷视', '估值', '融资', '中银', '投资者']"
25,旷视完成7.5亿美元D轮融资，估值40亿美元,"['旷视', '估值', '融资', '中银', '投资者']"
